LoadDateTimeStamp,user_id,RecordSource,full_name,UserStatus,e-mail
2019-12-09 13:40:32,1,kaggle,ГРОМОВ ЛЕВ РАИСОВИЧ,1,pellet8@mail.ru
2019-12-09 13:40:32,2,kaggle,ФОМИН АЗАМАТ АЛЕКСЕЕВИЧ,1,rimy077@yandex.ru
2019-12-09 13:40:32,3,kaggle,МИШИНА РИММА ИОСИФОВНА,1,bucketful269@gmail.com
2019-12-09 13:40:32,4,kaggle,ЧЕРНЫШЕВ МУРАТ ИЛЬИЧ,1,Manchuria23@mail.ru
2019-12-09 13:40:32,5,kaggle,ЛАЗАРЕВА ЕВГЕНИЯ МАРАТОВНА,1,sniff74@list.ru
2019-12-09 13:40:32,6,kaggle,ТИТОВА ТАИСИЯ ЭДУАРДОВНА,1,brusque5@yandex.ru
2019-12-09 13:40:32,7,kaggle,ШИШКИН ГЕРМАН АРКАДЬЕВИЧ,1,hidebound7@mail.ru
2019-12-09 13:40:32,8,kaggle,КИСЕЛЕВА МАРИЯ АРТУРОВНА,1,spatlum25@gmail.com
2019-12-09 13:40:32,9,kaggle,КНЯЗЕВ РЕНАТ РУСЛАНОВИЧ,1,Ukrainian2@list.ru
2019-12-09 13:40:32,10,kaggle,ФИЛИМОНОВ СЕРГЕЙ РАФАИЛОВИЧ,1,spinnaker9@mail.ru
2019-12-09 13:40:32,11,kaggle,КУЗНЕЦОВ ГРИГОРИЙ ДМИТРИЕВИЧ,1,erroneous662@yandex.ru
2019-12-09 13:40:32,12,kaggle,СУЛЕЙМАНОВА КАРИНА ВЕНИАМИНОВНА,1,impart46@gmail.com
2019-12-09 13:40:32,13,kaggle,АНДРЕЕВ ВАДИМ ИЛЬИЧ,1,Erskine8@yandex.ru
2019-12-09 13:40:32,14,kaggle,ФОКИНА РОЗА ЛЕОНИДОВНА,1,define@mail.ru
2019-12-09 13:40:32,15,kaggle,ГОНЧАРОВ РОДИОН ВЯЧЕСЛАВОВИЧ,1,crossbill3@gmail.com
2019-12-09 13:40:32,16,kaggle,БОЛЬШАКОВА ИННА ВИТАЛЬЕВНА,1,dysplasia38@list.ru
2019-12-09 13:40:32,17,kaggle,КАЛАШНИКОВ АЛЕКСЕЙ АНВАРОВИЧ,1,Sandburg@gmail.com
2019-12-09 13:40:32,18,kaggle,ЕРЕМИН РУСТЕМ СЕМЕНОВИЧ,1,yardstick63@list.ru
2019-12-09 13:40:32,19,kaggle,МАМЕДОВА ИРАИДА РОМАНОВНА,1,thyroidal394@mail.ru
2019-12-09 13:40:32,20,kaggle,БОРИСОВ АСЛАН РОМАНОВИЧ,1,banjo342@yandex.ru
2019-12-09 13:40:32,21,kaggle,АКСЕНОВ ДМИТРИЙ АРТУРОВИЧ,1,Shinto124@yandex.ru
2019-12-09 13:40:32,22,kaggle,САВИНА ВАРВАРА РОБЕРТОВНА,1,Bordeaux@yandex.ru
2019-12-09 13:40:32,23,kaggle,АЛЕКСЕЕВ АНДРЕЙ МАРАТОВИЧ,1,bondage@mail.ru
2019-12-09 13:40:32,24,kaggle,БЫКОВА СОФЬЯ АФАНАСЬЕВНА,1,streptomycin701@mail.ru
2019-12-09 13:40:32,25,kaggle,КАЛИНИНА АЛЬБИНА ВАЛЕРЬЕВНА,1,traumatic939@list.ru
2019-12-09 13:40:32,26,kaggle,ТИХОМИРОВА ДАРЬЯ ГЕННАДЬЕВНА,1,particular@gmail.com
2019-12-09 13:40:32,27,kaggle,СИМОНОВА ОЛЕСЯ ФИЛИППОВНА,1,sweat42@mail.ru
2019-12-09 13:40:32,28,kaggle,ВОРОБЬЕВ ВАСИЛИЙ АРКАДЬЕВИЧ,1,Cezanne1@list.ru
2019-12-09 13:40:32,29,kaggle,КОНДРАТЬЕВА ГАЛИНА МУХАМЕДОВНА,1,strum276@mail.ru
2019-12-09 13:40:32,30,kaggle,КОЛЕСНИКОВ ПАВЕЛ АНАТОЛЬЕВИЧ,1,collate77@mail.ru
2019-12-09 13:40:32,31,kaggle,БЕРЕЗИНА АЛЕНА РАВИЛЬЕВНА,1,pariah689@list.ru
2019-12-09 13:40:32,32,kaggle,ФЕДОТОВ РЕНАТ АНДРЕЕВИЧ,1,cerebrate1@mail.ru
2019-12-09 13:40:32,33,kaggle,СЕРГЕЕВА ЛЮДМИЛА ВАСИЛЬЕВНА,1,uremia9@yandex.ru
2019-12-09 13:40:32,34,kaggle,БАРАНОВ РАДИК ГЕРМАНОВИЧ,1,Marin@gmail.com
2019-12-09 13:40:32,35,kaggle,СУЛЕЙМАНОВА ИЛЬМИРА ЭДУАРДОВНА,1,attack329@gmail.com
2019-12-09 13:40:32,36,kaggle,ДАВЫДОВ ИВАН АНТОНОВИЧ,1,mortgage@mail.ru
2019-12-09 13:40:32,37,kaggle,РОЖКОВ АНАТОЛИЙ ИЛЬИЧ,1,conjunct4@list.ru
2019-12-09 13:40:32,38,kaggle,ГОНЧАРОВ ВАЛЕРИЙ РАДИКОВИЧ,1,Avogadro@list.ru
2019-12-09 13:40:32,39,kaggle,КУДРЯШОВ АЗАМАТ АЛИЕВИЧ,1,blood193@list.ru
2019-12-09 13:40:32,40,kaggle,ФОМИНА ЮЛИЯ АЛЕКСЕЕВНА,1,discretionary84@list.ru
2019-12-09 13:40:32,41,kaggle,АНДРЕЕВ ЗАУР ЛЕОНИДОВИЧ,1,slouch0@gmail.com
2019-12-09 13:40:32,42,kaggle,МАКСИМОВА МАРИАННА МАНСУРОВНА,1,Hamburg51@gmail.com
2019-12-09 13:40:32,43,kaggle,ГРИШИНА ЗАРИНА ВАЛЕРЬЕВНА,1,windfall50@gmail.com
2019-12-09 13:40:32,44,kaggle,КОЖЕВНИКОВА АЛЬБИНА ГАВРИЛОВНА,1,fisticuff92@mail.ru
2019-12-09 13:40:32,45,kaggle,ШИЛОВА ТАМАРА АНВАРОВНА,1,selfadjoint2@list.ru
2019-12-09 13:40:32,46,kaggle,СОБОЛЕВ ЕВГЕНИЙ ГЕННАДЬЕВИЧ,1,Michael@mail.ru
2019-12-09 13:40:32,47,kaggle,БОБРОВА РИММА ВЛАДИСЛАВОВНА,1,handleable12@yandex.ru
